2.2	110	1.21 0.15 0	180	6201.35	186.04	6500.36	195.011
2.2	135	1.21 0.15 0	180	5678.69	170.361	6899.92	206.998
2.2	160	1.21 0.15 0	180	6050.26	181.508	6898.1	206.943
2.2	110	1.22 0.15 0	180	5632.68	168.98	6239.47	187.184
2.2	135	1.22 0.15 0	180	5513.64	165.409	6376.57	191.297
2.2	160	1.22 0.15 0	180	5734.62	172.039	6273.83	188.215
2.2	110	1.23 0.15 0	180	4835.72	145.071	5678.09	170.343
2.2	135	1.23 0.15 0	180	4994.55	149.837	5578.14	167.344
2.2	160	1.23 0.15 0	180	5082.07	152.462	5376.07	161.282
2.2	110	1.24 0.15 0	180	4018.31	120.549	5013.32	150.399
2.2	135	1.24 0.15 0	180	4333.47	130.004	4736.3	142.089
2.2	160	1.24 0.15 0	180	4323.92	129.718	4456.79	133.704
2.2	110	1.25 0.15 0	180	3300.23	99.0069	4380.74	131.422
2.2	135	1.25 0.15 0	180	3684.91	110.547	3988.37	119.651
2.2	160	1.25 0.15 0	180	3614.92	108.447	3656	109.68
