2.2	110	1.21 0.07 0	180	20143.9	604.316	21443.9	643.317
2.2	135	1.21 0.07 0	180	19877.6	596.327	22592.8	677.783
2.2	160	1.21 0.07 0	180	20948.8	628.465	22846.3	685.389
2.2	110	1.22 0.07 0	180	19455.3	583.659	20730.5	621.914
2.2	135	1.22 0.07 0	180	19343.9	580.317	21035	631.05
2.2	160	1.22 0.07 0	180	19779.4	593.381	20898.1	626.943
2.2	110	1.23 0.07 0	180	17554.9	526.648	18926.9	567.807
2.2	135	1.23 0.07 0	180	17550.9	526.527	18492.8	554.784
2.2	160	1.23 0.07 0	180	17470.9	524.127	17992.7	539.781
2.2	110	1.24 0.07 0	180	15183.1	455.493	16705.9	501.176
2.2	135	1.24 0.07 0	180	15242.9	457.287	15740.8	472.224
2.2	160	1.24 0.07 0	180	14821.3	444.64	14963.6	448.907
2.2	110	1.25 0.07 0	180	12874.4	386.231	14550.7	436.52
2.2	135	1.25 0.07 0	180	12969.2	389.076	13258.2	397.745
2.2	160	1.25 0.07 0	180	12359.1	370.773	12306.1	369.182
