2.2	110	1.21 0.05 0	180	31976.3	959.29	33539.3	1006.18
2.2	135	1.21 0.05 0	180	31740.5	952.216	35219	1056.57
2.2	160	1.21 0.05 0	180	33287.8	998.635	35755.4	1072.66
2.2	110	1.22 0.05 0	180	31190.7	935.721	32520.3	975.609
2.2	135	1.22 0.05 0	180	30858.5	925.756	32896.4	986.891
2.2	160	1.22 0.05 0	180	31375.6	941.269	32775.7	983.27
2.2	110	1.23 0.05 0	180	28369.2	851.076	29733.6	892.007
2.2	135	1.23 0.05 0	180	27974.9	839.248	28986.9	869.607
2.2	160	1.23 0.05 0	180	27673.9	830.216	28268.6	848.059
2.2	110	1.24 0.05 0	180	24692.8	740.785	26245.5	787.364
2.2	135	1.24 0.05 0	180	24281.8	728.453	24707.1	741.213
2.2	160	1.24 0.05 0	180	23449.3	703.479	23541.5	706.245
2.2	110	1.25 0.05 0	180	21046.2	631.386	22837	685.109
2.2	135	1.25 0.05 0	180	20649.6	619.487	20820.6	624.617
2.2	160	1.25 0.05 0	180	19535	586.05	19378	581.341
