1.1	110	1.21 0.05 0	180	5765.22	172.957	5960.49	178.815
1.1	135	1.21 0.05 0	180	5639.78	169.193	6273.61	188.208
1.1	160	1.21 0.05 0	180	5960.72	178.822	6400.48	192.014
1.1	110	1.22 0.05 0	180	5290.92	158.727	5658.2	169.746
1.1	135	1.22 0.05 0	180	5301.11	159.033	5745.53	172.366
1.1	160	1.22 0.05 0	180	5483.02	164.491	5755.94	172.678
1.1	110	1.23 0.05 0	180	4560.98	136.829	5070.11	152.103
1.1	135	1.23 0.05 0	180	4658.5	139.755	4967.02	149.011
1.1	160	1.23 0.05 0	180	4724.94	141.748	4873.04	146.191
1.1	110	1.24 0.05 0	180	3785.98	113.579	4389.28	131.678
1.1	135	1.24 0.05 0	180	3928.21	117.846	4155.63	124.669
1.1	160	1.24 0.05 0	180	3915.06	117.452	3985.29	119.559
1.1	110	1.25 0.05 0	180	3093.11	92.7933	3747.46	112.424
1.1	135	1.25 0.05 0	180	3251.6	97.548	3438.42	103.153
1.1	160	1.25 0.05 0	180	3192.21	95.7663	3222.51	96.6752
