#Q2     CMR     E1      E2      Author
0.055   -4.     0.380       0.30   proposal 
0.05    -4.     0.380       0.30   proposal 
0.045   -4.     0.290       0.30   proposal 
0.04    -4.     0.290       0.30   proposal 
0.035   -4.     0.340       0.30   proposal 
0.03    -4.     0.340       0.30   proposal 
0.025   -4.     0.290       0.30   proposal 
0.02    -4.     0.290       0.30   proposal 
0.015   -4.     0.290       0.30   proposal 
