#Q2     CMR     E1      E2      Author
0.055   2.5     0.42    0.5   proposal 
0.05    2.5     0.42    0.5   proposal 
0.045   2.5     0.42    0.5   proposal 
0.04    2.5     0.42    0.5   proposal 
0.035   2.5     0.60    0.5   proposal 
0.03    2.5     0.60    0.5   proposal 
0.025   2.5     0.77    0.5   proposal 
0.02    2.5     0.77    0.5   proposal 
0.015   2.5     0.85    0.4   proposal 
