#Q2     CMR     E1      E2      Author
0.055   -2.5     0.189       0.30   proposal 
0.05    -2.5     0.189       0.30   proposal 
0.045   -2.5     0.189       0.30   proposal 
0.04    -2.5     0.189       0.30   proposal 
0.035   -2.5     0.270       0.30   proposal 
0.03    -2.5     0.270       0.30   proposal 
0.025   -2.5     0.347       0.30   proposal 
0.02    -2.5     0.347       0.30   proposal 
0.015   -2.5     0.383       0.30   proposal 
